2024-06-07 10:42:36 status installed bluez-cups:amd64 5.64-0ubuntu1.3
2024-06-07 10:42:41 startup archives unpack
2024-06-07 10:42:42 upgrade libvpx7:i386 1.11.0-2ubuntu2.2 1.11.0-2ubuntu2.3
2024-06-07 10:42:42 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2024-06-07 10:42:42 status half-configured libvpx7:i386 1.11.0-2ubuntu2.2
2024-06-07 10:42:42 status unpacked libvpx7:i386 1.11.0-2ubuntu2.2
2024-06-07 10:42:42 status half-configured libvpx7:amd64 1.11.0-2ubuntu2.2
2024-06-07 10:42:42 status half-installed libvpx7:i386 1.11.0-2ubuntu2.2
2024-06-07 10:42:43 status unpacked libvpx7:i386 1.11.0-2ubuntu2.3
2024-06-07 10:42:43 upgrade libvpx7:amd64 1.11.0-2ubuntu2.2 1.11.0-2ubuntu2.3
2024-06-07 10:42:43 status unpacked libvpx7:amd64 1.11.0-2ubuntu2.2
2024-06-07 10:42:43 status half-installed libvpx7:amd64 1.11.0-2ubuntu2.2
2024-06-07 10:42:44 status unpacked libvpx7:amd64 1.11.0-2ubuntu2.3
2024-06-07 10:42:44 startup packages configure
2024-06-07 10:42:44 configure libvpx7:amd64 1.11.0-2ubuntu2.3 <none>
2024-06-07 10:42:44 status unpacked libvpx7:amd64 1.11.0-2ubuntu2.3
2024-06-07 10:42:44 status half-configured libvpx7:amd64 1.11.0-2ubuntu2.3
2024-06-07 10:42:44 status installed libvpx7:amd64 1.11.0-2ubuntu2.3
2024-06-07 10:42:44 configure libvpx7:i386 1.11.0-2ubuntu2.3 <none>
2024-06-07 10:42:44 status unpacked libvpx7:i386 1.11.0-2ubuntu2.3
